movieId,ml_title,search_title,year,tmdb_id,tmdb_title,poster_url,overview,tagline,tmdb_genres,keywords,cast,director,runtime,popularity,vote_average,vote_count,release_date
1,Toy Story (1995),Toy Story,1995,862,Toy Story,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",The adventure takes off when toys come to life!,Family|Comedy|Animation|Adventure,rescue|friendship|mission|jealousy|villain|bullying|elementary school|rivalry|anthropomorphism|friends|computer animation|buddy|walkie talkie|toy car|boy next door|new toy|neighborhood|toy comes to life|resourcefulness|toy|hilarious|cheerful|pixar,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn,John Lasseter,81,24.5829,7.973,19843,1995-11-22
2,Jumanji (1995),Jumanji,1995,8844,Jumanji,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",It's a jungle in here.,Adventure|Fantasy|Family,giant insect|board game|disappearance|jungle|recluse|stampede|based on young adult novel|vibrant,Robin Williams|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Jonathan Hyde,Joe Johnston,104,2.8943,7.245,11286,1995-12-15
3,Grumpier Old Men (1995),Grumpier Old Men,1995,15602,Grumpier Old Men,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Still Yelling. Still Fighting. Still Ready for Love.,Romance|Comedy,fishing|sequel|old man|best friend|wedding|italian restaurant|old friends|duringcreditsstinger|pranks,Walter Matthau|Jack Lemmon|Ann-Margret|Sophia Loren|Daryl Hannah,Howard Deutch,101,1.8481,6.479,428,1995-12-22
4,Waiting to Exhale (1995),Waiting to Exhale,1995,31357,Waiting to Exhale,https://image.tmdb.org/t/p/w500/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",Friends are the people who let you be yourself... and never let you forget it.,Comedy|Drama|Romance,based on novel or book|single mother|divorce|anxious|friendship between women|cautionary|adoring|celebratory|comforting|african american romance|african american friendship,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines,Forest Whitaker,127,2.355,6.258,198,1995-12-22
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995,11862,Father of the Bride Part II,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",Just when his world is back to normal... he's in for the surprise of his life!,Comedy|Family,"daughter|baby|parent child relationship|midlife crisis|pregnancy|confidence|aging|sequel|remake|los angeles, california|pregnant woman|contraception|gynecologist|pregnant",Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern,Charles Shyer,106,2.0088,6.278,805,1995-12-08
6,Heat (1995),Heat,1995,949,Heat,https://image.tmdb.org/t/p/w500/e09dLw1Ljtccd2P4NsuUvVtS5du.jpg,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,A Los Angeles crime saga.,Crime|Drama|Action,"robbery|chase|obsession|detective|heist|remake|thief|honor|murder|betrayal|gang|los angeles, california|cat and mouse|bank robbery|criminal mastermind|cynical|ex-con|one last job|loner|bank job|neo-noir|crime epic|antagonistic|assertive|authoritarian|bold",Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore,Michael Mann,170,18.3468,7.9,8315,1995-12-15
7,Sabrina (1995),Sabrina,1995,11860,Sabrina,https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",You are cordially invited to the most surprising merger of the year.,Romance|Drama|Comedy,"chauffeur|sibling relationship|paris, france|transformation|birthday party|family business |long island, new york|playboy|teenage crush|millionaire|marriage engagement|high society|merger|impossible love|family disapproval|scheme|wealth differences|wealthy family|father daughter relationship|brother brother relationship|unlikely romance|romantic",Harrison Ford|Julia Ormond|Greg Kinnear|Nancy Marchand|John Wood,Sydney Pollack,127,4.3991,6.213,690,1995-12-15
8,Tom and Huck (1995),Tom and Huck,1995,45325,Tom and Huck,https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",A lot of kids get into trouble. These two invented it.,Family|Action|Adventure|Drama,based on novel or book|mississippi river|male friendship|restless youth|rural americana,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright,Peter Hewitt,97,1.7348,5.304,214,1995-12-22
9,Sudden Death (1995),Sudden Death,1995,9091,Sudden Death,https://image.tmdb.org/t/p/w500/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,Terror goes into overtime.,Action|Drama|Thriller|Crime,"explosive|hostage|ice hockey|terrorism|vice president|pittsburgh, pennsylvania|pittsburgh penguins",Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright|Ross Malinger,Peter Hyams,111,2.372,6.0,805,1995-10-27
10,GoldenEye (1995),GoldenEye,1995,710,GoldenEye,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",No limits. No fears. No substitutes.,Adventure|Action|Thriller,"computer virus|cuba|falsely accused|secret intelligence service|secret identity|secret base|kgb|satellite|special car|cossack|electromagnetic pulse|time bomb|st. petersburg, russia|red army|james bond",Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker,Martin Campbell,130,8.8114,6.902,4321,1995-11-16
