model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Clustering,5531,5,0.0,0.0,0.0,23,80
Clustering,5531,10,0.0,0.0,0.0,23,80
Clustering,5531,20,0.0,0.0,0.0,23,80
Clustering,5531,40,0.0,0.0,0.0,23,80
Clustering,5531,80,0.0,0.0,0.0,23,80
Clustering,711,5,0.0,0.0,0.0,19,80
Clustering,711,10,0.1,0.05263157894736842,0.3333333333333333,19,80
Clustering,711,20,0.05,0.05263157894736842,0.3333333333333333,19,80
Clustering,711,40,0.025,0.05263157894736842,0.3333333333333333,19,80
Clustering,711,80,0.0125,0.05263157894736842,0.3333333333333333,19,80
Clustering,4925,5,0.0,0.0,0.0,11,80
Clustering,4925,10,0.0,0.0,0.0,11,80
Clustering,4925,20,0.0,0.0,0.0,11,80
Clustering,4925,40,0.0,0.0,0.0,11,80
Clustering,4925,80,0.0375,0.2727272727272727,0.2304137351805208,11,80
Clustering,2155,5,0.0,0.0,0.0,13,80
Clustering,2155,10,0.0,0.0,0.0,13,80
Clustering,2155,20,0.0,0.0,0.0,13,80
Clustering,2155,40,0.0,0.0,0.0,13,80
Clustering,2155,80,0.0,0.0,0.0,13,80
Clustering,1273,5,0.0,0.0,0.0,49,80
Clustering,1273,10,0.0,0.0,0.0,49,80
Clustering,1273,20,0.0,0.0,0.0,49,80
Clustering,1273,40,0.0,0.0,0.0,49,80
Clustering,1273,80,0.025,0.04081632653061224,0.2112260107559599,49,80
Clustering,2318,5,0.0,0.0,0.0,2,80
Clustering,2318,10,0.0,0.0,0.0,2,80
Clustering,2318,20,0.0,0.0,0.0,2,80
Clustering,2318,40,0.0,0.0,0.0,2,80
Clustering,2318,80,0.0,0.0,0.0,2,80
Clustering,2096,5,0.0,0.0,0.0,21,80
Clustering,2096,10,0.0,0.0,0.0,21,80
Clustering,2096,20,0.05,0.047619047619047616,0.26264953503719357,21,80
Clustering,2096,40,0.025,0.047619047619047616,0.26264953503719357,21,80
Clustering,2096,80,0.0125,0.047619047619047616,0.26264953503719357,21,80
Clustering,3129,5,0.0,0.0,0.0,47,80
Clustering,3129,10,0.0,0.0,0.0,47,80
Clustering,3129,20,0.0,0.0,0.0,47,80
Clustering,3129,40,0.0,0.0,0.0,47,80
Clustering,3129,80,0.0,0.0,0.0,47,80
Clustering,743,5,0.0,0.0,0.0,14,80
Clustering,743,10,0.0,0.0,0.0,14,80
Clustering,743,20,0.0,0.0,0.0,14,80
Clustering,743,40,0.0,0.0,0.0,14,80
Clustering,743,80,0.0,0.0,0.0,14,80
Clustering,297,5,0.0,0.0,0.0,15,80
Clustering,297,10,0.0,0.0,0.0,15,80
Clustering,297,20,0.0,0.0,0.0,15,80
Clustering,297,40,0.0,0.0,0.0,15,80
Clustering,297,80,0.0,0.0,0.0,15,80
Clustering,3697,5,0.0,0.0,0.0,15,80
Clustering,3697,10,0.0,0.0,0.0,15,80
Clustering,3697,20,0.0,0.0,0.0,15,80
Clustering,3697,40,0.0,0.0,0.0,15,80
Clustering,3697,80,0.0,0.0,0.0,15,80
Clustering,1143,5,0.0,0.0,0.0,11,80
Clustering,1143,10,0.0,0.0,0.0,11,80
Clustering,1143,20,0.0,0.0,0.0,11,80
Clustering,1143,40,0.0,0.0,0.0,11,80
Clustering,1143,80,0.0,0.0,0.0,11,80
Clustering,409,5,0.0,0.0,0.0,46,80
Clustering,409,10,0.0,0.0,0.0,46,80
Clustering,409,20,0.0,0.0,0.0,46,80
Clustering,409,40,0.0,0.0,0.0,46,80
Clustering,409,80,0.0,0.0,0.0,46,80
Clustering,5287,5,0.0,0.0,0.0,22,80
Clustering,5287,10,0.0,0.0,0.0,22,80
Clustering,5287,20,0.0,0.0,0.0,22,80
Clustering,5287,40,0.0,0.0,0.0,22,80
Clustering,5287,80,0.0,0.0,0.0,22,80
Clustering,3952,5,0.0,0.0,0.0,9,80
Clustering,3952,10,0.0,0.0,0.0,9,80
Clustering,3952,20,0.0,0.0,0.0,9,80
Clustering,3952,40,0.0,0.0,0.0,9,80
Clustering,3952,80,0.0,0.0,0.0,9,80
Clustering,1621,5,0.0,0.0,0.0,1,80
Clustering,1621,10,0.0,0.0,0.0,1,80
Clustering,1621,20,0.0,0.0,0.0,1,80
Clustering,1621,40,0.0,0.0,0.0,1,80
Clustering,1621,80,0.0,0.0,0.0,1,80
Clustering,2055,5,0.0,0.0,0.0,26,80
Clustering,2055,10,0.1,0.038461538461538464,0.2890648263178879,26,80
Clustering,2055,20,0.1,0.07692307692307693,0.3191081886500419,26,80
Clustering,2055,40,0.05,0.07692307692307693,0.3191081886500419,26,80
Clustering,2055,80,0.0375,0.11538461538461539,0.3205414681570244,26,80
Clustering,5749,5,0.0,0.0,0.0,39,80
Clustering,5749,10,0.0,0.0,0.0,39,80
Clustering,5749,20,0.0,0.0,0.0,39,80
Clustering,5749,40,0.0,0.0,0.0,39,80
Clustering,5749,80,0.0125,0.02564102564102564,0.15863495891559604,39,80
Clustering,5830,5,0.0,0.0,0.0,10,80
Clustering,5830,10,0.0,0.0,0.0,10,80
Clustering,5830,20,0.0,0.0,0.0,10,80
Clustering,5830,40,0.0,0.0,0.0,10,80
Clustering,5830,80,0.0,0.0,0.0,10,80
Clustering,866,5,0.0,0.0,0.0,3,80
Clustering,866,10,0.0,0.0,0.0,3,80
Clustering,866,20,0.0,0.0,0.0,3,80
Clustering,866,40,0.0,0.0,0.0,3,80
Clustering,866,80,0.0125,0.3333333333333333,0.16544255391905832,3,80
Clustering,806,5,0.0,0.0,0.0,13,80
Clustering,806,10,0.0,0.0,0.0,13,80
Clustering,806,20,0.0,0.0,0.0,13,80
Clustering,806,40,0.0,0.0,0.0,13,80
Clustering,806,80,0.0,0.0,0.0,13,80
Clustering,656,5,0.0,0.0,0.0,25,80
Clustering,656,10,0.0,0.0,0.0,25,80
Clustering,656,20,0.0,0.0,0.0,25,80
Clustering,656,40,0.0,0.0,0.0,25,80
Clustering,656,80,0.025,0.08,0.21008384030866697,25,80
Clustering,4820,5,0.0,0.0,0.0,6,80
Clustering,4820,10,0.0,0.0,0.0,6,80
Clustering,4820,20,0.0,0.0,0.0,6,80
Clustering,4820,40,0.0,0.0,0.0,6,80
Clustering,4820,80,0.0125,0.16666666666666666,0.17718382013555792,6,80
Clustering,2517,5,0.0,0.0,0.0,5,80
Clustering,2517,10,0.0,0.0,0.0,5,80
Clustering,2517,20,0.0,0.0,0.0,5,80
Clustering,2517,40,0.0,0.0,0.0,5,80
Clustering,2517,80,0.0,0.0,0.0,5,80
Clustering,5672,5,0.0,0.0,0.0,3,80
Clustering,5672,10,0.0,0.0,0.0,3,80
Clustering,5672,20,0.0,0.0,0.0,3,80
Clustering,5672,40,0.0,0.0,0.0,3,80
Clustering,5672,80,0.0,0.0,0.0,3,80
Clustering,24,5,0.0,0.0,0.0,22,80
Clustering,24,10,0.0,0.0,0.0,22,80
Clustering,24,20,0.0,0.0,0.0,22,80
Clustering,24,40,0.0,0.0,0.0,22,80
Clustering,24,80,0.0,0.0,0.0,22,80
Clustering,1422,5,0.0,0.0,0.0,35,80
Clustering,1422,10,0.0,0.0,0.0,35,80
Clustering,1422,20,0.0,0.0,0.0,35,80
Clustering,1422,40,0.0,0.0,0.0,35,80
Clustering,1422,80,0.0,0.0,0.0,35,80
Clustering,5656,5,0.0,0.0,0.0,1,80
Clustering,5656,10,0.0,0.0,0.0,1,80
Clustering,5656,20,0.0,0.0,0.0,1,80
Clustering,5656,40,0.0,0.0,0.0,1,80
Clustering,5656,80,0.0,0.0,0.0,1,80
Clustering,5729,5,0.0,0.0,0.0,12,80
Clustering,5729,10,0.0,0.0,0.0,12,80
Clustering,5729,20,0.0,0.0,0.0,12,80
Clustering,5729,40,0.0,0.0,0.0,12,80
