model,K,precision,recall,ndcg
Clustering,5,0.004,0.0014825605680868837,0.012461414348591217
Clustering,10,0.005,0.002694605102499839,0.022026125281106427
Clustering,20,0.00425,0.004875652196897382,0.02945141865969128
Clustering,40,0.004375,0.012646771431615569,0.041789878981013155
Clustering,80,0.0048125,0.026551930948596075,0.059044752010033556
Collaborative Filtering,5,0.185,0.061002518693173406,0.40930880459472474
Collaborative Filtering,10,0.16649999999999998,0.1033722106166231,0.4337391831232993
Collaborative Filtering,20,0.13025,0.16061731126228074,0.44918193996231937
Collaborative Filtering,40,0.102,0.25422267166825685,0.46576316434099707
Collaborative Filtering,80,0.0735625,0.35385266115916086,0.4657655091741945
Content-Based,5,0.019000000000000003,0.007266373486918769,0.06195704861453352
Content-Based,10,0.018000000000000002,0.011397701048124244,0.08130563884027772
Content-Based,20,0.01425,0.01725340056885523,0.09291218503082138
Content-Based,40,0.013625,0.03526313384208802,0.11754136268142062
Content-Based,80,0.0140625,0.07824784504907537,0.14709624153451645
SVD Matrix Factorization,5,0.199,0.0645294836836936,0.3991669205478762
SVD Matrix Factorization,10,0.159,0.0988389228830955,0.4202213388344692
SVD Matrix Factorization,20,0.12425000000000001,0.14467567190430997,0.43209474910172624
SVD Matrix Factorization,40,0.093375,0.2119541864708885,0.4390035120265874
SVD Matrix Factorization,80,0.0666875,0.304393994322669,0.4396114567993045
