model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Clustering-TMDB,5531,5,0.0,0.0,0.0,23,80
Clustering-TMDB,5531,10,0.0,0.0,0.0,23,80
Clustering-TMDB,5531,20,0.0,0.0,0.0,23,80
Clustering-TMDB,5531,40,0.0,0.0,0.0,23,80
Clustering-TMDB,5531,80,0.0,0.0,0.0,23,80
Clustering-TMDB,711,5,0.2,0.05263157894736842,0.43067655807339306,19,80
Clustering-TMDB,711,10,0.1,0.05263157894736842,0.43067655807339306,19,80
Clustering-TMDB,711,20,0.1,0.10526315789473684,0.4210080669505208,19,80
Clustering-TMDB,711,40,0.075,0.15789473684210525,0.4137131237195576,19,80
Clustering-TMDB,711,80,0.0375,0.15789473684210525,0.4137131237195576,19,80
Clustering-TMDB,4925,5,0.0,0.0,0.0,11,80
Clustering-TMDB,4925,10,0.0,0.0,0.0,11,80
Clustering-TMDB,4925,20,0.0,0.0,0.0,11,80
Clustering-TMDB,4925,40,0.0,0.0,0.0,11,80
Clustering-TMDB,4925,80,0.0,0.0,0.0,11,80
Clustering-TMDB,2155,5,0.0,0.0,0.0,13,80
Clustering-TMDB,2155,10,0.0,0.0,0.0,13,80
Clustering-TMDB,2155,20,0.0,0.0,0.0,13,80
Clustering-TMDB,2155,40,0.025,0.07692307692307693,0.21274605355336318,13,80
Clustering-TMDB,2155,80,0.0125,0.07692307692307693,0.21274605355336318,13,80
Clustering-TMDB,1273,5,0.0,0.0,0.0,49,80
Clustering-TMDB,1273,10,0.0,0.0,0.0,49,80
Clustering-TMDB,1273,20,0.0,0.0,0.0,49,80
Clustering-TMDB,1273,40,0.0,0.0,0.0,49,80
Clustering-TMDB,1273,80,0.025,0.04081632653061224,0.20417621745369668,49,80
Clustering-TMDB,2318,5,0.0,0.0,0.0,2,80
Clustering-TMDB,2318,10,0.0,0.0,0.0,2,80
Clustering-TMDB,2318,20,0.0,0.0,0.0,2,80
Clustering-TMDB,2318,40,0.0,0.0,0.0,2,80
Clustering-TMDB,2318,80,0.0,0.0,0.0,2,80
Clustering-TMDB,2096,5,0.0,0.0,0.0,21,80
Clustering-TMDB,2096,10,0.0,0.0,0.0,21,80
Clustering-TMDB,2096,20,0.0,0.0,0.0,21,80
Clustering-TMDB,2096,40,0.0,0.0,0.0,21,80
Clustering-TMDB,2096,80,0.025,0.09523809523809523,0.19484929436831339,21,80
Clustering-TMDB,3129,5,0.0,0.0,0.0,47,80
Clustering-TMDB,3129,10,0.0,0.0,0.0,47,80
Clustering-TMDB,3129,20,0.05,0.02127659574468085,0.227670248696953,47,80
Clustering-TMDB,3129,40,0.15,0.1276595744680851,0.3708960529447403,47,80
Clustering-TMDB,3129,80,0.15,0.2553191489361702,0.4489181458611521,47,80
Clustering-TMDB,743,5,0.0,0.0,0.0,14,80
Clustering-TMDB,743,10,0.0,0.0,0.0,14,80
Clustering-TMDB,743,20,0.05,0.07142857142857142,0.25,14,80
Clustering-TMDB,743,40,0.025,0.07142857142857142,0.25,14,80
Clustering-TMDB,743,80,0.0125,0.07142857142857142,0.25,14,80
Clustering-TMDB,297,5,0.0,0.0,0.0,15,80
Clustering-TMDB,297,10,0.0,0.0,0.0,15,80
Clustering-TMDB,297,20,0.0,0.0,0.0,15,80
Clustering-TMDB,297,40,0.0,0.0,0.0,15,80
Clustering-TMDB,297,80,0.0,0.0,0.0,15,80
Clustering-TMDB,3697,5,0.0,0.0,0.0,15,80
Clustering-TMDB,3697,10,0.0,0.0,0.0,15,80
Clustering-TMDB,3697,20,0.0,0.0,0.0,15,80
Clustering-TMDB,3697,40,0.0,0.0,0.0,15,80
Clustering-TMDB,3697,80,0.025,0.13333333333333333,0.2163291054380921,15,80
Clustering-TMDB,1143,5,0.0,0.0,0.0,11,80
Clustering-TMDB,1143,10,0.0,0.0,0.0,11,80
Clustering-TMDB,1143,20,0.0,0.0,0.0,11,80
Clustering-TMDB,1143,40,0.0,0.0,0.0,11,80
Clustering-TMDB,1143,80,0.0125,0.09090909090909091,0.18003132665669264,11,80
Clustering-TMDB,409,5,0.0,0.0,0.0,46,80
Clustering-TMDB,409,10,0.0,0.0,0.0,46,80
Clustering-TMDB,409,20,0.0,0.0,0.0,46,80
Clustering-TMDB,409,40,0.125,0.10869565217391304,0.36576632165738043,46,80
Clustering-TMDB,409,80,0.075,0.13043478260869565,0.37604979788130516,46,80
Clustering-TMDB,5287,5,0.0,0.0,0.0,22,80
Clustering-TMDB,5287,10,0.0,0.0,0.0,22,80
Clustering-TMDB,5287,20,0.0,0.0,0.0,22,80
Clustering-TMDB,5287,40,0.0,0.0,0.0,22,80
Clustering-TMDB,5287,80,0.0125,0.045454545454545456,0.1605440854340214,22,80
Clustering-TMDB,3952,5,0.0,0.0,0.0,9,80
Clustering-TMDB,3952,10,0.0,0.0,0.0,9,80
Clustering-TMDB,3952,20,0.0,0.0,0.0,9,80
Clustering-TMDB,3952,40,0.0,0.0,0.0,9,80
Clustering-TMDB,3952,80,0.0125,0.1111111111111111,0.16104477175644444,9,80
Clustering-TMDB,1621,5,0.0,0.0,0.0,1,80
Clustering-TMDB,1621,10,0.0,0.0,0.0,1,80
Clustering-TMDB,1621,20,0.0,0.0,0.0,1,80
Clustering-TMDB,1621,40,0.0,0.0,0.0,1,80
Clustering-TMDB,1621,80,0.0,0.0,0.0,1,80
Clustering-TMDB,2055,5,0.0,0.0,0.0,26,80
Clustering-TMDB,2055,10,0.0,0.0,0.0,26,80
Clustering-TMDB,2055,20,0.05,0.038461538461538464,0.25,26,80
Clustering-TMDB,2055,40,0.05,0.07692307692307693,0.27098574849023754,26,80
Clustering-TMDB,2055,80,0.0375,0.11538461538461539,0.2827417489622928,26,80
Clustering-TMDB,5749,5,0.0,0.0,0.0,39,80
Clustering-TMDB,5749,10,0.1,0.02564102564102564,0.3010299956639812,39,80
Clustering-TMDB,5749,20,0.05,0.02564102564102564,0.3010299956639812,39,80
Clustering-TMDB,5749,40,0.025,0.02564102564102564,0.3010299956639812,39,80
Clustering-TMDB,5749,80,0.0125,0.02564102564102564,0.3010299956639812,39,80
Clustering-TMDB,5830,5,0.0,0.0,0.0,10,80
Clustering-TMDB,5830,10,0.0,0.0,0.0,10,80
Clustering-TMDB,5830,20,0.0,0.0,0.0,10,80
Clustering-TMDB,5830,40,0.0,0.0,0.0,10,80
Clustering-TMDB,5830,80,0.0125,0.1,0.1686130986895011,10,80
Clustering-TMDB,866,5,0.0,0.0,0.0,3,61
Clustering-TMDB,866,10,0.0,0.0,0.0,3,61
Clustering-TMDB,866,20,0.0,0.0,0.0,3,61
Clustering-TMDB,866,40,0.0,0.0,0.0,3,61
Clustering-TMDB,866,80,0.0125,0.3333333333333333,0.1686130986895011,3,61
Clustering-TMDB,806,5,0.0,0.0,0.0,13,80
Clustering-TMDB,806,10,0.0,0.0,0.0,13,80
Clustering-TMDB,806,20,0.05,0.07692307692307693,0.2559580248098155,13,80
Clustering-TMDB,806,40,0.025,0.07692307692307693,0.2559580248098155,13,80
Clustering-TMDB,806,80,0.0125,0.07692307692307693,0.2559580248098155,13,80
Clustering-TMDB,656,5,0.0,0.0,0.0,25,80
Clustering-TMDB,656,10,0.0,0.0,0.0,25,80
Clustering-TMDB,656,20,0.0,0.0,0.0,25,80
Clustering-TMDB,656,40,0.0,0.0,0.0,25,80
Clustering-TMDB,656,80,0.0125,0.04,0.17376534287144002,25,80
Clustering-TMDB,4820,5,0.0,0.0,0.0,6,80
Clustering-TMDB,4820,10,0.0,0.0,0.0,6,80
Clustering-TMDB,4820,20,0.0,0.0,0.0,6,80
Clustering-TMDB,4820,40,0.0,0.0,0.0,6,80
Clustering-TMDB,4820,80,0.0,0.0,0.0,6,80
Clustering-TMDB,2517,5,0.0,0.0,0.0,5,80
Clustering-TMDB,2517,10,0.0,0.0,0.0,5,80
Clustering-TMDB,2517,20,0.0,0.0,0.0,5,80
Clustering-TMDB,2517,40,0.0,0.0,0.0,5,80
Clustering-TMDB,2517,80,0.0,0.0,0.0,5,80
Clustering-TMDB,5672,5,0.0,0.0,0.0,3,80
Clustering-TMDB,5672,10,0.0,0.0,0.0,3,80
Clustering-TMDB,5672,20,0.0,0.0,0.0,3,80
Clustering-TMDB,5672,40,0.0,0.0,0.0,3,80
Clustering-TMDB,5672,80,0.0,0.0,0.0,3,80
Clustering-TMDB,24,5,0.0,0.0,0.0,22,80
Clustering-TMDB,24,10,0.0,0.0,0.0,22,80
Clustering-TMDB,24,20,0.05,0.045454545454545456,0.27023815442731974,22,80
Clustering-TMDB,24,40,0.05,0.09090909090909091,0.29772982705152495,22,80
Clustering-TMDB,24,80,0.025,0.09090909090909091,0.29772982705152495,22,80
Clustering-TMDB,1422,5,0.0,0.0,0.0,35,80
Clustering-TMDB,1422,10,0.0,0.0,0.0,35,80
Clustering-TMDB,1422,20,0.0,0.0,0.0,35,80
Clustering-TMDB,1422,40,0.025,0.02857142857142857,0.2,35,80
Clustering-TMDB,1422,80,0.0375,0.08571428571428572,0.24873869664327306,35,80
Clustering-TMDB,5656,5,0.0,0.0,0.0,1,80
Clustering-TMDB,5656,10,0.0,0.0,0.0,1,80
Clustering-TMDB,5656,20,0.0,0.0,0.0,1,80
Clustering-TMDB,5656,40,0.0,0.0,0.0,1,80
Clustering-TMDB,5656,80,0.0,0.0,0.0,1,80
Clustering-TMDB,5729,5,0.0,0.0,0.0,12,80
Clustering-TMDB,5729,10,0.0,0.0,0.0,12,80
Clustering-TMDB,5729,20,0.0,0.0,0.0,12,80
Clustering-TMDB,5729,40,0.025,0.08333333333333333,0.19195872000656014,12,80
Clustering-TMDB,5729,80,0.0125,0.08333333333333333,0.19195872000656014,12,80
Clustering-TMDB,2438,5,0.0,0.0,0.0,18,80
Clustering-TMDB,2438,10,0.0,0.0,0.0,18,80
Clustering-TMDB,2438,20,0.0,0.0,0.0,18,80
Clustering-TMDB,2438,40,0.0,0.0,0.0,18,80
Clustering-TMDB,2438,80,0.0125,0.05555555555555555,0.16666666666666666,18,80
Clustering-TMDB,4163,5,0.0,0.0,0.0,4,80
Clustering-TMDB,4163,10,0.0,0.0,0.0,4,80
Clustering-TMDB,4163,20,0.0,0.0,0.0,4,80
Clustering-TMDB,4163,40,0.0,0.0,0.0,4,80
Clustering-TMDB,4163,80,0.0,0.0,0.0,4,80
Clustering-TMDB,1631,5,0.0,0.0,0.0,22,80
