model,K,precision,recall,ndcg
Clustering-TMDB,5,0.013000000000000001,0.005367756512493355,0.04541758924747631
Clustering-TMDB,10,0.014000000000000002,0.009110964204834197,0.06643666197119262
Clustering-TMDB,20,0.01925,0.022603476674785742,0.10598313047995454
Clustering-TMDB,40,0.02125,0.05274082272716308,0.14222382503844458
Clustering-TMDB,80,0.0189375,0.08517167106649563,0.1763696414904421
Collaborative Filtering,5,0.185,0.061002518693173406,0.40930880459472474
Collaborative Filtering,10,0.16649999999999998,0.1033722106166231,0.4337391831232993
Collaborative Filtering,20,0.13025,0.16061731126228074,0.44918193996231937
Collaborative Filtering,40,0.102,0.25422267166825685,0.46576316434099707
Collaborative Filtering,80,0.0735625,0.35385266115916086,0.4657655091741945
Content-Based-TMDB,5,0.019000000000000003,0.004893423428066455,0.05643950011018869
Content-Based-TMDB,10,0.019500000000000003,0.013339276488666467,0.08308224009527111
Content-Based-TMDB,20,0.023000000000000003,0.02864066985212868,0.10625299175582939
Content-Based-TMDB,40,0.0255,0.06492725581699667,0.14798522039744408
Content-Based-TMDB,80,0.023937499999999997,0.12420932118218583,0.19056330230893576
SVD Matrix Factorization,5,0.199,0.0645294836836936,0.3991669205478762
SVD Matrix Factorization,10,0.159,0.0988389228830955,0.4202213388344692
SVD Matrix Factorization,20,0.12425000000000001,0.14467567190430997,0.43209474910172624
SVD Matrix Factorization,40,0.093375,0.2119541864708885,0.4390035120265874
SVD Matrix Factorization,80,0.0666875,0.304393994322669,0.4396114567993045
