model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
SVD Matrix Factorization,5531,5,0.4,0.08695652173913043,1.0,23,80
SVD Matrix Factorization,5531,10,0.4,0.17391304347826086,0.8932547230000344,23,80
SVD Matrix Factorization,5531,20,0.2,0.17391304347826086,0.8932547230000344,23,80
SVD Matrix Factorization,5531,40,0.175,0.30434782608695654,0.7969981548820246,23,80
SVD Matrix Factorization,5531,80,0.1375,0.4782608695652174,0.7459683889012247,23,80
SVD Matrix Factorization,711,5,0.2,0.05263157894736842,0.43067655807339306,19,80
SVD Matrix Factorization,711,10,0.2,0.10526315789473684,0.44130740935663865,19,80
SVD Matrix Factorization,711,20,0.1,0.10526315789473684,0.44130740935663865,19,80
SVD Matrix Factorization,711,40,0.1,0.21052631578947367,0.4424253334505623,19,80
SVD Matrix Factorization,711,80,0.05,0.21052631578947367,0.4424253334505623,19,80
SVD Matrix Factorization,4925,5,0.2,0.09090909090909091,1.0,11,80
SVD Matrix Factorization,4925,10,0.1,0.09090909090909091,1.0,11,80
SVD Matrix Factorization,4925,20,0.05,0.09090909090909091,1.0,11,80
SVD Matrix Factorization,4925,40,0.025,0.09090909090909091,1.0,11,80
SVD Matrix Factorization,4925,80,0.025,0.18181818181818182,0.7235328953148507,11,80
SVD Matrix Factorization,2155,5,0.0,0.0,0.0,13,80
SVD Matrix Factorization,2155,10,0.0,0.0,0.0,13,80
SVD Matrix Factorization,2155,20,0.0,0.0,0.0,13,80
SVD Matrix Factorization,2155,40,0.0,0.0,0.0,13,80
SVD Matrix Factorization,2155,80,0.025,0.15384615384615385,0.20383773522697368,13,80
SVD Matrix Factorization,1273,5,0.6,0.061224489795918366,0.9674679834891693,49,80
SVD Matrix Factorization,1273,10,0.5,0.10204081632653061,0.9042472380494709,49,80
SVD Matrix Factorization,1273,20,0.4,0.16326530612244897,0.8622045160906059,49,80
SVD Matrix Factorization,1273,40,0.25,0.20408163265306123,0.8384049937061407,49,80
SVD Matrix Factorization,1273,80,0.175,0.2857142857142857,0.8029261642723792,49,80
SVD Matrix Factorization,2318,5,0.0,0.0,0.0,2,80
SVD Matrix Factorization,2318,10,0.0,0.0,0.0,2,80
SVD Matrix Factorization,2318,20,0.0,0.0,0.0,2,80
SVD Matrix Factorization,2318,40,0.0,0.0,0.0,2,80
SVD Matrix Factorization,2318,80,0.0,0.0,0.0,2,80
SVD Matrix Factorization,2096,5,0.2,0.047619047619047616,0.6309297535714575,21,80
SVD Matrix Factorization,2096,10,0.1,0.047619047619047616,0.6309297535714575,21,80
SVD Matrix Factorization,2096,20,0.05,0.047619047619047616,0.6309297535714575,21,80
SVD Matrix Factorization,2096,40,0.05,0.09523809523809523,0.5188868685208371,21,80
SVD Matrix Factorization,2096,80,0.0625,0.23809523809523808,0.4670237242250238,21,80
SVD Matrix Factorization,3129,5,0.2,0.02127659574468085,0.5,47,80
SVD Matrix Factorization,3129,10,0.3,0.06382978723404255,0.5391065605018963,47,80
SVD Matrix Factorization,3129,20,0.35,0.14893617021276595,0.595497432894156,47,80
SVD Matrix Factorization,3129,40,0.275,0.23404255319148937,0.6230725650003922,47,80
SVD Matrix Factorization,3129,80,0.2,0.3404255319148936,0.6281374172124065,47,80
SVD Matrix Factorization,743,5,0.0,0.0,0.0,14,80
SVD Matrix Factorization,743,10,0.0,0.0,0.0,14,80
SVD Matrix Factorization,743,20,0.0,0.0,0.0,14,80
SVD Matrix Factorization,743,40,0.025,0.07142857142857142,0.21274605355336318,14,80
SVD Matrix Factorization,743,80,0.025,0.14285714285714285,0.23964836391725658,14,80
SVD Matrix Factorization,297,5,0.4,0.13333333333333333,0.8503449055347546,15,80
SVD Matrix Factorization,297,10,0.2,0.13333333333333333,0.8503449055347546,15,80
SVD Matrix Factorization,297,20,0.1,0.13333333333333333,0.8503449055347546,15,80
SVD Matrix Factorization,297,40,0.05,0.13333333333333333,0.8503449055347546,15,80
SVD Matrix Factorization,297,80,0.05,0.26666666666666666,0.668150150988772,15,80
SVD Matrix Factorization,3697,5,0.2,0.06666666666666667,1.0,15,80
SVD Matrix Factorization,3697,10,0.3,0.2,0.7529716549381368,15,80
SVD Matrix Factorization,3697,20,0.25,0.3333333333333333,0.7074569570617475,15,80
SVD Matrix Factorization,3697,40,0.175,0.4666666666666667,0.6799917499261681,15,80
SVD Matrix Factorization,3697,80,0.1125,0.6,0.6608269777803678,15,80
SVD Matrix Factorization,1143,5,0.0,0.0,0.0,11,80
SVD Matrix Factorization,1143,10,0.0,0.0,0.0,11,80
SVD Matrix Factorization,1143,20,0.05,0.09090909090909091,0.23137821315975915,11,80
SVD Matrix Factorization,1143,40,0.025,0.09090909090909091,0.23137821315975915,11,80
SVD Matrix Factorization,1143,80,0.0125,0.09090909090909091,0.23137821315975915,11,80
SVD Matrix Factorization,409,5,0.4,0.043478260869565216,0.8772153153380493,46,80
SVD Matrix Factorization,409,10,0.5,0.10869565217391304,0.80737248436437,46,80
SVD Matrix Factorization,409,20,0.5,0.21739130434782608,0.7989726357078252,46,80
SVD Matrix Factorization,409,40,0.325,0.2826086956521739,0.7971575085369912,46,80
SVD Matrix Factorization,409,80,0.2125,0.3695652173913043,0.7820948732270607,46,80
SVD Matrix Factorization,5287,5,0.0,0.0,0.0,22,80
SVD Matrix Factorization,5287,10,0.1,0.045454545454545456,0.2890648263178879,22,80
SVD Matrix Factorization,5287,20,0.1,0.09090909090909091,0.3429350525492773,22,80
SVD Matrix Factorization,5287,40,0.075,0.13636363636363635,0.36620996487322394,22,80
SVD Matrix Factorization,5287,80,0.0875,0.3181818181818182,0.4015716738515091,22,80
SVD Matrix Factorization,3952,5,0.0,0.0,0.0,9,80
SVD Matrix Factorization,3952,10,0.0,0.0,0.0,9,80
SVD Matrix Factorization,3952,20,0.0,0.0,0.0,9,80
SVD Matrix Factorization,3952,40,0.025,0.1111111111111111,0.19342640361727081,9,80
SVD Matrix Factorization,3952,80,0.0125,0.1111111111111111,0.19342640361727081,9,80
SVD Matrix Factorization,1621,5,0.0,0.0,0.0,1,80
SVD Matrix Factorization,1621,10,0.0,0.0,0.0,1,80
SVD Matrix Factorization,1621,20,0.0,0.0,0.0,1,80
SVD Matrix Factorization,1621,40,0.0,0.0,0.0,1,80
SVD Matrix Factorization,1621,80,0.0,0.0,0.0,1,80
SVD Matrix Factorization,2055,5,0.0,0.0,0.0,26,80
SVD Matrix Factorization,2055,10,0.1,0.038461538461538464,0.2890648263178879,26,80
SVD Matrix Factorization,2055,20,0.1,0.07692307692307693,0.3482723708517659,26,80
SVD Matrix Factorization,2055,40,0.175,0.2692307692307692,0.4340495045704317,26,80
SVD Matrix Factorization,2055,80,0.1125,0.34615384615384615,0.44818105708165307,26,80
SVD Matrix Factorization,5749,5,0.4,0.05128205128205128,0.6509209298071326,39,80
SVD Matrix Factorization,5749,10,0.2,0.05128205128205128,0.6509209298071326,39,80
SVD Matrix Factorization,5749,20,0.1,0.05128205128205128,0.6509209298071326,39,80
SVD Matrix Factorization,5749,40,0.05,0.05128205128205128,0.6509209298071326,39,80
SVD Matrix Factorization,5749,80,0.0625,0.1282051282051282,0.5372922487353026,39,80
SVD Matrix Factorization,5830,5,0.0,0.0,0.0,10,80
SVD Matrix Factorization,5830,10,0.0,0.0,0.0,10,80
SVD Matrix Factorization,5830,20,0.0,0.0,0.0,10,80
SVD Matrix Factorization,5830,40,0.0,0.0,0.0,10,80
SVD Matrix Factorization,5830,80,0.0125,0.1,0.17376534287144002,10,80
SVD Matrix Factorization,866,5,0.2,0.3333333333333333,1.0,3,80
SVD Matrix Factorization,866,10,0.1,0.3333333333333333,1.0,3,80
SVD Matrix Factorization,866,20,0.05,0.3333333333333333,1.0,3,80
SVD Matrix Factorization,866,40,0.025,0.3333333333333333,1.0,3,80
SVD Matrix Factorization,866,80,0.0125,0.3333333333333333,1.0,3,80
SVD Matrix Factorization,806,5,0.0,0.0,0.0,13,80
SVD Matrix Factorization,806,10,0.0,0.0,0.0,13,80
SVD Matrix Factorization,806,20,0.0,0.0,0.0,13,80
SVD Matrix Factorization,806,40,0.025,0.07692307692307693,0.1965616322328226,13,80
SVD Matrix Factorization,806,80,0.0125,0.07692307692307693,0.1965616322328226,13,80
SVD Matrix Factorization,656,5,0.2,0.04,1.0,25,80
SVD Matrix Factorization,656,10,0.3,0.12,0.7669719408901708,25,80
SVD Matrix Factorization,656,20,0.15,0.12,0.7669719408901708,25,80
SVD Matrix Factorization,656,40,0.125,0.2,0.6988247612468502,25,80
SVD Matrix Factorization,656,80,0.0875,0.28,0.6599021355744144,25,80
SVD Matrix Factorization,4820,5,0.0,0.0,0.0,6,80
SVD Matrix Factorization,4820,10,0.1,0.16666666666666666,0.2890648263178879,6,80
SVD Matrix Factorization,4820,20,0.05,0.16666666666666666,0.2890648263178879,6,80
SVD Matrix Factorization,4820,40,0.05,0.3333333333333333,0.30768393229222224,6,80
SVD Matrix Factorization,4820,80,0.025,0.3333333333333333,0.30768393229222224,6,80
SVD Matrix Factorization,2517,5,0.0,0.0,0.0,5,80
SVD Matrix Factorization,2517,10,0.0,0.0,0.0,5,80
SVD Matrix Factorization,2517,20,0.0,0.0,0.0,5,80
SVD Matrix Factorization,2517,40,0.0,0.0,0.0,5,80
SVD Matrix Factorization,2517,80,0.0125,0.2,0.15863495891559604,5,80
SVD Matrix Factorization,5672,5,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5672,10,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5672,20,0.0,0.0,0.0,3,80
SVD Matrix Factorization,5672,40,0.025,0.3333333333333333,0.18920035951687003,3,80
SVD Matrix Factorization,5672,80,0.0125,0.3333333333333333,0.18920035951687003,3,80
SVD Matrix Factorization,24,5,0.2,0.045454545454545456,1.0,22,80
SVD Matrix Factorization,24,10,0.2,0.09090909090909091,0.8175295903539445,22,80
SVD Matrix Factorization,24,20,0.1,0.09090909090909091,0.8175295903539445,22,80
SVD Matrix Factorization,24,40,0.125,0.22727272727272727,0.6492204512455836,22,80
SVD Matrix Factorization,24,80,0.1125,0.4090909090909091,0.6135149267232167,22,80
SVD Matrix Factorization,1422,5,0.6,0.08571428571428572,0.7328286204777911,35,80
SVD Matrix Factorization,1422,10,0.5,0.14285714285714285,0.7574391522808,35,80
SVD Matrix Factorization,1422,20,0.45,0.2571428571428571,0.7705333636993696,35,80
SVD Matrix Factorization,1422,40,0.325,0.37142857142857144,0.7694128023527361,35,80
SVD Matrix Factorization,1422,80,0.1875,0.42857142857142855,0.7633708387674958,35,80
SVD Matrix Factorization,5656,5,0.0,0.0,0.0,1,80
